"url","imobiliaria","data_extracao","ALUGUEL","CONDOMINIO","IPTU","ALUGUEL_CONDOMINIO","ENDERECO","TITULO","AREA","QUARTOS","SUITES","GARAGENS","BANHEIROS","ATUALIZACAO_REF","DESCRICAO","ANUNCIANTE","ESPACO_PRIVATIVO","AREA_COMUM"
"https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-sp-sao-paulo-santo-amaro-18m2-RS1500/id-9061058/","chavesnamao","2025-03-20 14:37:22.549013","R$ 1.500","R$ 300/mês","Não informado","R$ 1.800/mês","Rua Iguatinga, 186, Santo Amaro, São Paulo/SP","Apartamento com 1 quarto para alugar na Rua Iguatinga, 186, Santo Amaro, São Paulo","18m²","1","--","--","1","Última atualização: 14/03/2025 às 17:45h | Ref: 15058","Ótimo Studio mobiliado para locação em Santo Amaro!

01 dormitório com cama e armário planejado, cozinha com geladeira, armários embutidos, micro-ondas, forno, cafeteira, banheiro e sem vaga de garagem.

Excelente localização, próximo de supermercados, trem, shopping, ônibus e comércios em geral.

Agende uma visita com um dos Corretores da Sky Realty!","N/A","Mobiliado","Portaria"
"https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-sp-sao-paulo-santo-amaro-25m2-RS1763/id-28875533/","chavesnamao","2025-03-20 15:15:49.925365","R$ 1.763","R$ 1.218/mês","R$ 119","R$ 2.981/mês","Avenida Santo Amaro, 7019, Santo Amaro, São Paulo/SP","Apartamento para alugar no bairro Santo Amaro em São Paulo/SP","25m² / 25m²","1","--","--","1","Última atualização: 20/03/2025 às 08:30h | Ref: la-vida-alto-da-boa-vista-nr-216","Apartamento mobiliado em localização estratégica no bairro Santo Amaro! Possui 25 m2 e 1 quarto[s]. Para facilitar o seu dia a dia, o imóvel já vem com tudo pronto para você morar.

Aluguel sem dor de cabeça
A Yuca é a empresa de moradia referência em aluguel descomplicado. Os apartamentos são sempre novos ou recém-reformados e já vêm com tudo ligado e funcionando — água, gás, energia e até internet. Os moradores contam com a facilidade de pagar todas as contas do mês junto com o aluguel, em um boleto único. A Yuca ainda oferece alguns serviços exclusivos, já inclusos no valor do pacote, como manutenção e suporte. Todas as unidades são administradas por empresas de locação profissional, não havendo necessidade de que o inquilino lide com o proprietário.

Sua experiência de moradia pode ir além com a Yuca! Descubra um novo jeito de morar: mais flexível, prático e completo. Conheça mais imóveis no site da Yuca.

Chave do anúncio: yxVVaV8qPbyEUt4Q","Mss Vendas Locações De Imóveis","Mobiliado","N/A"
"https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-sp-sao-paulo-santo-amaro-RS2000/id-26083760/","chavesnamao","2025-03-20 17:53:12.231950","R$ 2.000","R$ 977/mês","R$ 63","R$ 2.977/mês","Largo Treze De Maio, 453, Santo Amaro, São Paulo/SP","Imóvel para aluguel com 68 m²","68m²","2","1","1","1","Última atualização: 31/12/2024 às 04:06h | Ref: AS118","Este imóvel de 68m², localizado na Alameda Santo Amaro, conta com 2 quartos, 1 banheiro, vaga de garagem e elevador, oferecendo mais praticidade e conforto para o dia a dia. Ideal para quem valoriza conveniência em uma localização privilegiada.","N/A","N/A","N/A"
"https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-sp-sao-paulo-santo-amaro-RS2700/id-26460892/","chavesnamao","2025-03-20 19:23:18.393740","R$ 2.700","R$ 225/mês","R$ 31","R$ 2.925/mês","Avenida Vereador José Diniz, Santo Amaro, São Paulo/SP","Imóvel para aluguel com 27 metros quadrados com 1 quarto valor pacote com cond em Alto da Boa Vista","27m²","1","--","--","1","Última atualização: 23/01/2025 às 22:05h | Ref: 10028","O imóvel no bairro Alto da Boa Vista com 27 metros quadrados com 1 quarto e 1 banheiro
Semi mobiliado
400 metros do metro Borba Gato
novo

Possui área de fitness, espaço gourmet, jardim, área de brinquedo para as crianças, espaço para festas.
Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais
(link removido)
ço reservado para preparar o seu churrasco.
Elevador que garante o transporte das suas malas e compras.
Fica em um condomínio fechado.","N/A","Ar Condicionado
Churrasqueira
Lavanderia
Espaço gourmet","Churrasqueira(s) coletiva(s)
Elevador(es)
Piscina
Playground
Salão de festas
Academia"
"https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-sp-sao-paulo-santo-amaro-RS2590/id-26534303/","chavesnamao","2025-03-20 19:24:33.661153","R$ 2.590","R$ 2/mês","R$ 46","R$ 2.593/mês","Avenida Vereador José Diniz, 1, Santo Amaro, São Paulo/SP","imóvel para locação está localizado no bairro Alto Da boa vista possui 27 metros quadrados com 1 quarto","27m²","1","1 Suite","1 Suite","--","Última atualização: 31/12/2024 às 08:29h | Ref: 100285","O imóvel está localizado no bairro Alto Da Boa Vista possui 27 metros quadrados com 1 quarto e 1 banheiro
Possui academia,
(link removido)
em um condomínio fechado.
mobiliado
valor
R$ 2.590.00
condomínio e IPTU não incluso
450 metros da estação Borba Gato
prédio novo
agende sua visita
mobiliado total","Camarada","Portaria 24h
Bicicletário
Lavanderia compartilhada
Elevador(es) de serviço
Academia
Salão multiuso
Interfone
Jardim","N/A"
"https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-sp-sao-paulo-santo-amaro-15m2-RS1350/id-13973883/","chavesnamao","2025-03-20 19:26:45.946059","R$ 1.350","R$ 250/mês","Não informado","R$ 1.600/mês","Rua Iguatinga, 186, Santo Amaro, São Paulo/SP","Apartamento com 1 quarto para alugar na Rua Iguatinga, 186, Santo Amaro, São Paulo","15m²","1","--","--","1","Última atualização: 14/03/2025 às 17:45h | Ref: 14477","Ótimo studio mobiliado para locação em Santo Amaro!

01 dormitório com cama e armário planejado, cozinha com geladeira, TV, forno micro-ondas, e fogão (opcional), cozinha com gabinete e armários banheiro e sem vaga de garagem.

Entrada independente.

Excelente localização, próximo de supermercados, trem, shopping, ônibus e comércios em geral.

Consulte um Corretor (a) da Sky Realty e realize um negócio rápido e seguro!

```As informações estão sujeitas a alterações sem aviso prévio. Reservamo-nos ao direito de possíveis erros: ortográficos, descrições, valores, fotográficos ou erros técnicos. Dúvidas, consulte-nos.```","N/A","Mobiliado","Portaria"
"https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-sp-sao-paulo-brooklin-RS1850/id-27581931/","chavesnamao","2025-03-20 19:28:41.513995","R$ 1.850","R$ 744/mês","R$ 286","R$ 2.594/mês","Rua João Pais, 168, Brooklin, São Paulo/SP","Apartamento com 1 quarto para alugar na Rua João Pais, 168, Brooklin, São Paulo","1","1 Suite","--","--","--","Última atualização: 05/02/2025 às 18:15h | Ref: 1743170","Oportunidade incrível no coração de Santo Amaro! Este apartamento está localizado na Rua João Pais, 168, em uma região que oferece acesso fácil ao Brooklin e suas opções de comércio e serviços. Aproveite a conveniência de viver perto de uma das áreas mais dinâmicas de São Paulo, com transporte público, restaurantes e lojas ao seu redor. Ideal para quem busca qualidade de vida e praticidade. Entre em contato e agende uma visita para conhecer esse imóvel que pode se tornar o seu novo lar!","Moraes Reis Imóveis","Sacada","N/A"
